,location,date,variant,num_sequences,perc_sequences,num_sequences_total
39,Angola,2021-01-04,Omicron,0,0.0,5
40,Angola,2021-01-11,Alpha,0,0.0,16
41,Angola,2021-01-11,Beta,1,6.25,16
42,Angola,2021-01-11,Delta,0,0.0,16
43,Angola,2021-01-11,Mu,0,0.0,16
44,Angola,2021-01-11,Omicron,0,0.0,16
45,Angola,2021-01-25,Alpha,3,5.77,52
46,Angola,2021-01-25,Beta,2,3.85,52
47,Angola,2021-01-25,Delta,0,0.0,52
48,Angola,2021-01-25,Mu,0,0.0,52
49,Angola,2021-01-25,Omicron,0,0.0,52
50,Angola,2021-02-08,Alpha,4,9.52,42
51,Angola,2021-02-08,Beta,12,28.57,42
52,Angola,2021-02-08,Delta,0,0.0,42
53,Angola,2021-02-08,Mu,0,0.0,42
54,Angola,2021-02-08,Omicron,0,0.0,42
55,Angola,2021-02-22,Alpha,1,2.56,39
56,Angola,2021-02-22,Beta,16,41.03,39
57,Angola,2021-02-22,Delta,0,0.0,39
58,Angola,2021-02-22,Mu,0,0.0,39
59,Angola,2021-02-22,Omicron,0,0.0,39
60,Angola,2021-03-08,Alpha,7,6.19,113
61,Angola,2021-03-08,Beta,69,61.06,113
62,Angola,2021-03-08,Delta,0,0.0,113
63,Angola,2021-03-08,Mu,0,0.0,113
64,Angola,2021-03-08,Omicron,0,0.0,113
65,Angola,2021-03-22,Alpha,12,9.92,121
66,Angola,2021-03-22,Beta,87,71.9,121
67,Angola,2021-03-22,Delta,0,0.0,121
68,Angola,2021-03-22,Mu,0,0.0,121
69,Angola,2021-03-22,Omicron,0,0.0,121
70,Angola,2021-04-05,Alpha,32,23.36,137
71,Angola,2021-04-05,Beta,64,46.72,137
72,Angola,2021-04-05,Delta,0,0.0,137
73,Angola,2021-04-05,Mu,0,0.0,137
74,Angola,2021-04-05,Omicron,0,0.0,137
75,Angola,2021-04-19,Alpha,21,25.3,83
76,Angola,2021-04-19,Beta,31,37.35,83
77,Angola,2021-04-19,Delta,2,2.41,83
78,Angola,2021-04-19,Mu,0,0.0,83
79,Angola,2021-04-19,Omicron,0,0.0,83
80,Angola,2021-05-03,Alpha,11,32.35,34
81,Angola,2021-05-03,Beta,17,50.0,34
82,Angola,2021-05-03,Delta,1,2.94,34
83,Angola,2021-05-03,Mu,0,0.0,34
84,Angola,2021-05-03,Omicron,0,0.0,34
85,Angola,2021-05-17,Alpha,0,0.0,5
86,Angola,2021-05-17,Beta,0,0.0,5
87,Angola,2021-05-17,Delta,4,80.0,5
88,Angola,2021-05-17,Mu,0,0.0,5
89,Angola,2021-05-17,Omicron,0,0.0,5
90,Angola,2021-05-31,Alpha,7,100.0,7
91,Angola,2021-05-31,Beta,0,0.0,7
92,Angola,2021-05-31,Delta,0,0.0,7
93,Angola,2021-05-31,Mu,0,0.0,7
94,Angola,2021-05-31,Omicron,0,0.0,7
95,Angola,2021-06-14,Alpha,17,77.27,22
96,Angola,2021-06-14,Beta,5,22.73,22
97,Angola,2021-06-14,Delta,0,0.0,22
98,Angola,2021-06-14,Mu,0,0.0,22
99,Angola,2021-06-14,Omicron,0,0.0,22
100,Angola,2021-06-28,Alpha,30,50.85,59
101,Angola,2021-06-28,Beta,18,30.51,59
102,Angola,2021-06-28,Delta,10,16.95,59
103,Angola,2021-06-28,Mu,0,0.0,59
104,Angola,2021-06-28,Omicron,0,0.0,59
105,Angola,2021-07-12,Alpha,9,19.57,46
106,Angola,2021-07-12,Beta,12,26.09,46
107,Angola,2021-07-12,Delta,23,50.0,46
108,Angola,2021-07-12,Mu,0,0.0,46
109,Angola,2021-07-12,Omicron,0,0.0,46
110,Angola,2021-07-26,Alpha,2,20.0,10
111,Angola,2021-07-26,Beta,1,10.0,10
112,Angola,2021-07-26,Delta,6,60.0,10
113,Angola,2021-07-26,Mu,0,0.0,10
114,Angola,2021-07-26,Omicron,0,0.0,10
115,Angola,2021-08-09,Alpha,0,0.0,4
116,Angola,2021-08-09,Beta,1,25.0,4
117,Angola,2021-08-09,Delta,3,75.0,4
118,Angola,2021-08-09,Mu,0,0.0,4
119,Angola,2021-08-09,Omicron,0,0.0,4
120,Angola,2021-08-23,Alpha,0,0.0,1
121,Angola,2021-08-23,Beta,0,0.0,1
122,Angola,2021-08-23,Delta,1,100.0,1
123,Angola,2021-08-23,Mu,0,0.0,1
124,Angola,2021-08-23,Omicron,0,0.0,1
125,Angola,2021-09-06,Alpha,0,0.0,20
126,Angola,2021-09-06,Beta,0,0.0,20
127,Angola,2021-09-06,Delta,20,100.0,20
128,Angola,2021-09-06,Mu,0,0.0,20
129,Angola,2021-09-06,Omicron,0,0.0,20
130,Angola,2021-09-20,Alpha,0,0.0,57
131,Angola,2021-09-20,Beta,0,0.0,57
132,Angola,2021-09-20,Delta,57,100.0,57
133,Angola,2021-09-20,Mu,0,0.0,57
134,Angola,2021-09-20,Omicron,0,0.0,57
135,Angola,2021-10-04,Alpha,0,0.0,33
136,Angola,2021-10-04,Beta,0,0.0,33
137,Angola,2021-10-04,Delta,33,100.0,33
138,Angola,2021-10-04,Mu,0,0.0,33
139,Angola,2021-10-04,Omicron,0,0.0,33
140,Argentina,2020-05-11,Alpha,0,0.0,151
141,Argentina,2020-05-11,Beta,0,0.0,151
142,Argentina,2020-05-11,Delta,0,0.0,151
143,Argentina,2020-05-11,Mu,0,0.0,151
144,Argentina,2020-05-11,Omicron,0,0.0,151
145,Argentina,2020-05-25,Alpha,0,0.0,167
146,Argentina,2020-05-25,Beta,0,0.0,167
147,Argentina,2020-05-25,Delta,0,0.0,167
148,Argentina,2020-05-25,Mu,0,0.0,167
149,Argentina,2020-05-25,Omicron,0,0.0,167
150,Argentina,2020-06-08,Alpha,0,0.0,67
151,Argentina,2020-06-08,Beta,0,0.0,67
152,Argentina,2020-06-08,Delta,0,0.0,67
153,Argentina,2020-06-08,Mu,0,0.0,67
154,Argentina,2020-06-08,Omicron,0,0.0,67
155,Argentina,2020-06-22,Alpha,0,0.0,79
156,Argentina,2020-06-22,Beta,0,0.0,79
157,Argentina,2020-06-22,Delta,0,0.0,79
158,Argentina,2020-06-22,Mu,0,0.0,79
159,Argentina,2020-06-22,Omicron,0,0.0,79
160,Argentina,2020-07-06,Alpha,0,0.0,63
161,Argentina,2020-07-06,Beta,0,0.0,63
162,Argentina,2020-07-06,Delta,0,0.0,63
163,Argentina,2020-07-06,Mu,0,0.0,63
164,Argentina,2020-07-06,Omicron,0,0.0,63
165,Argentina,2020-07-20,Alpha,0,0.0,113
166,Argentina,2020-07-20,Beta,0,0.0,113
167,Argentina,2020-07-20,Delta,0,0.0,113
168,Argentina,2020-07-20,Mu,0,0.0,113
169,Argentina,2020-07-20,Omicron,0,0.0,113
170,Argentina,2020-08-03,Alpha,0,0.0,103
171,Argentina,2020-08-03,Beta,0,0.0,103
172,Argentina,2020-08-03,Delta,0,0.0,103
173,Argentina,2020-08-03,Mu,0,0.0,103
174,Argentina,2020-08-03,Omicron,0,0.0,103
175,Argentina,2020-08-17,Alpha,0,0.0,113
176,Argentina,2020-08-17,Beta,0,0.0,113
177,Argentina,2020-08-17,Delta,0,0.0,113
178,Argentina,2020-08-17,Mu,0,0.0,113
179,Argentina,2020-08-17,Omicron,0,0.0,113
180,Argentina,2020-08-31,Alpha,0,0.0,138
181,Argentina,2020-08-31,Beta,0,0.0,138
182,Argentina,2020-08-31,Delta,0,0.0,138
183,Argentina,2020-08-31,Mu,0,0.0,138
184,Argentina,2020-08-31,Omicron,0,0.0,138
185,Argentina,2020-09-14,Alpha,0,0.0,50
186,Argentina,2020-09-14,Beta,0,0.0,50
187,Argentina,2020-09-14,Delta,0,0.0,50
188,Argentina,2020-09-14,Mu,0,0.0,50
189,Argentina,2020-09-14,Omicron,0,0.0,50
190,Argentina,2020-09-28,Alpha,0,0.0,56
191,Argentina,2020-09-28,Beta,0,0.0,56
192,Argentina,2020-09-28,Delta,0,0.0,56
193,Argentina,2020-09-28,Mu,0,0.0,56
194,Argentina,2020-09-28,Omicron,0,0.0,56
195,Argentina,2020-10-12,Alpha,0,0.0,39
196,Argentina,2020-10-12,Beta,0,0.0,39
197,Argentina,2020-10-12,Delta,0,0.0,39
198,Argentina,2020-10-12,Mu,0,0.0,39
199,Argentina,2020-10-12,Omicron,0,0.0,39
200,Argentina,2020-10-26,Alpha,0,0.0,102
201,Argentina,2020-10-26,Beta,0,0.0,102
202,Argentina,2020-10-26,Delta,0,0.0,102
203,Argentina,2020-10-26,Mu,0,0.0,102
204,Argentina,2020-10-26,Omicron,0,0.0,102
205,Argentina,2020-11-09,Alpha,0,0.0,58
206,Argentina,2020-11-09,Beta,0,0.0,58
207,Argentina,2020-11-09,Delta,0,0.0,58
208,Argentina,2020-11-09,Mu,0,0.0,58
209,Argentina,2020-11-09,Omicron,0,0.0,58
210,Argentina,2020-11-23,Alpha,0,0.0,63
211,Argentina,2020-11-23,Beta,0,0.0,63
212,Argentina,2020-11-23,Delta,1,1.59,63
213,Argentina,2020-11-23,Mu,0,0.0,63
214,Argentina,2020-11-23,Omicron,0,0.0,63
215,Argentina,2020-12-07,Alpha,0,0.0,49
216,Argentina,2020-12-07,Beta,0,0.0,49
217,Argentina,2020-12-07,Delta,0,0.0,49
218,Argentina,2020-12-07,Mu,0,0.0,49
219,Argentina,2020-12-07,Omicron,0,0.0,49
220,Argentina,2020-12-21,Alpha,0,0.0,71
221,Argentina,2020-12-21,Beta,0,0.0,71
222,Argentina,2020-12-21,Delta,0,0.0,71
223,Argentina,2020-12-21,Mu,0,0.0,71
224,Argentina,2020-12-21,Omicron,0,0.0,71
225,Argentina,2021-01-04,Alpha,1,2.04,49
226,Argentina,2021-01-04,Beta,0,0.0,49
227,Argentina,2021-01-04,Delta,0,0.0,49
228,Argentina,2021-01-04,Mu,0,0.0,49
229,Argentina,2021-01-04,Omicron,0,0.0,49
230,Argentina,2021-01-11,Alpha,0,0.0,33
231,Argentina,2021-01-11,Beta,0,0.0,33
232,Argentina,2021-01-11,Delta,0,0.0,33
233,Argentina,2021-01-11,Mu,0,0.0,33
234,Argentina,2021-01-11,Omicron,0,0.0,33
235,Argentina,2021-01-25,Alpha,0,0.0,62
236,Argentina,2021-01-25,Beta,0,0.0,62
237,Argentina,2021-01-25,Delta,0,0.0,62
238,Argentina,2021-01-25,Mu,0,0.0,62
239,Argentina,2021-01-25,Omicron,0,0.0,62
240,Argentina,2021-02-08,Alpha,5,7.25,69
241,Argentina,2021-02-08,Beta,0,0.0,69
242,Argentina,2021-02-08,Delta,0,0.0,69
243,Argentina,2021-02-08,Mu,0,0.0,69
244,Argentina,2021-02-08,Omicron,0,0.0,69
245,Argentina,2021-02-22,Alpha,0,0.0,57
246,Argentina,2021-02-22,Beta,0,0.0,57
247,Argentina,2021-02-22,Delta,0,0.0,57
248,Argentina,2021-02-22,Mu,0,0.0,57
249,Argentina,2021-02-22,Omicron,0,0.0,57
250,Argentina,2021-03-08,Alpha,5,7.69,65
251,Argentina,2021-03-08,Beta,0,0.0,65
252,Argentina,2021-03-08,Delta,1,1.54,65
253,Argentina,2021-03-08,Mu,0,0.0,65
254,Argentina,2021-03-08,Omicron,0,0.0,65
255,Argentina,2021-03-22,Alpha,22,12.43,177
256,Argentina,2021-03-22,Beta,0,0.0,177
257,Argentina,2021-03-22,Delta,0,0.0,177
258,Argentina,2021-03-22,Mu,0,0.0,177
259,Argentina,2021-03-22,Omicron,0,0.0,177
260,Argentina,2021-04-05,Alpha,32,16.33,196
261,Argentina,2021-04-05,Beta,0,0.0,196
262,Argentina,2021-04-05,Delta,0,0.0,196
263,Argentina,2021-04-05,Mu,0,0.0,196
264,Argentina,2021-04-05,Omicron,0,0.0,196
265,Argentina,2021-04-19,Alpha,38,12.75,298
266,Argentina,2021-04-19,Beta,0,0.0,298
267,Argentina,2021-04-19,Delta,0,0.0,298
268,Argentina,2021-04-19,Mu,0,0.0,298
269,Argentina,2021-04-19,Omicron,0,0.0,298
270,Argentina,2021-05-03,Alpha,43,12.76,337
271,Argentina,2021-05-03,Beta,1,0.3,337
272,Argentina,2021-05-03,Delta,1,0.3,337
273,Argentina,2021-05-03,Mu,1,0.3,337
274,Argentina,2021-05-03,Omicron,0,0.0,337
275,Argentina,2021-05-17,Alpha,41,12.13,338
276,Argentina,2021-05-17,Beta,0,0.0,338
277,Argentina,2021-05-17,Delta,0,0.0,338
278,Argentina,2021-05-17,Mu,0,0.0,338
279,Argentina,2021-05-17,Omicron,0,0.0,338
280,Argentina,2021-05-31,Alpha,32,10.63,301
281,Argentina,2021-05-31,Beta,0,0.0,301
282,Argentina,2021-05-31,Delta,0,0.0,301
283,Argentina,2021-05-31,Mu,0,0.0,301
284,Argentina,2021-05-31,Omicron,0,0.0,301
285,Argentina,2021-06-14,Alpha,35,8.6,407
286,Argentina,2021-06-14,Beta,0,0.0,407
287,Argentina,2021-06-14,Delta,1,0.25,407
288,Argentina,2021-06-14,Mu,0,0.0,407
289,Argentina,2021-06-14,Omicron,0,0.0,407
290,Argentina,2021-06-28,Alpha,35,9.21,380
291,Argentina,2021-06-28,Beta,0,0.0,380
292,Argentina,2021-06-28,Delta,2,0.53,380
293,Argentina,2021-06-28,Mu,0,0.0,380
294,Argentina,2021-06-28,Omicron,0,0.0,380
295,Argentina,2021-07-12,Alpha,15,4.21,356
296,Argentina,2021-07-12,Beta,0,0.0,356
297,Argentina,2021-07-12,Delta,19,5.34,356
298,Argentina,2021-07-12,Mu,2,0.56,356
299,Argentina,2021-07-12,Omicron,0,0.0,356
300,Argentina,2021-07-26,Alpha,14,4.17,336
301,Argentina,2021-07-26,Beta,0,0.0,336
302,Argentina,2021-07-26,Delta,44,13.1,336
303,Argentina,2021-07-26,Mu,1,0.3,336
304,Argentina,2021-07-26,Omicron,0,0.0,336
305,Argentina,2021-08-09,Alpha,13,2.71,480
306,Argentina,2021-08-09,Beta,0,0.0,480
307,Argentina,2021-08-09,Delta,86,17.92,480
308,Argentina,2021-08-09,Mu,3,0.62,480
309,Argentina,2021-08-09,Omicron,0,0.0,480
310,Argentina,2021-08-23,Alpha,9,2.01,447
311,Argentina,2021-08-23,Beta,0,0.0,447
312,Argentina,2021-08-23,Delta,85,19.02,447
313,Argentina,2021-08-23,Mu,3,0.67,447
314,Argentina,2021-08-23,Omicron,0,0.0,447
315,Argentina,2021-09-06,Alpha,4,0.89,447
316,Argentina,2021-09-06,Beta,0,0.0,447
317,Argentina,2021-09-06,Delta,90,20.13,447
318,Argentina,2021-09-06,Mu,5,1.12,447
319,Argentina,2021-09-06,Omicron,0,0.0,447
320,Argentina,2021-09-20,Alpha,3,0.96,313
321,Argentina,2021-09-20,Beta,0,0.0,313
322,Argentina,2021-09-20,Delta,127,40.58,313
323,Argentina,2021-09-20,Mu,3,0.96,313
324,Argentina,2021-09-20,Omicron,0,0.0,313
325,Argentina,2021-10-04,Alpha,2,0.84,237
326,Argentina,2021-10-04,Beta,0,0.0,237
327,Argentina,2021-10-04,Delta,113,47.68,237
328,Argentina,2021-10-04,Mu,2,0.84,237
329,Argentina,2021-10-04,Omicron,0,0.0,237
330,Argentina,2021-10-18,Alpha,3,0.83,361
331,Argentina,2021-10-18,Beta,0,0.0,361
332,Argentina,2021-10-18,Delta,171,47.37,361
333,Argentina,2021-10-18,Mu,2,0.55,361
334,Argentina,2021-10-18,Omicron,0,0.0,361
335,Argentina,2021-11-01,Alpha,10,1.81,553
336,Argentina,2021-11-01,Beta,0,0.0,553
337,Argentina,2021-11-01,Delta,417,75.41,553
338,Argentina,2021-11-01,Mu,2,0.36,553
339,Argentina,2021-11-01,Omicron,0,0.0,553
340,Argentina,2021-11-15,Alpha,4,1.2,332
341,Argentina,2021-11-15,Beta,0,0.0,332
342,Argentina,2021-11-15,Delta,270,81.33,332
343,Argentina,2021-11-15,Mu,2,0.6,332
344,Argentina,2021-11-15,Omicron,0,0.0,332
345,Argentina,2021-11-29,Alpha,0,0.0,117
346,Argentina,2021-11-29,Beta,0,0.0,117
347,Argentina,2021-11-29,Delta,105,89.74,117
348,Argentina,2021-11-29,Mu,0,0.0,117
349,Argentina,2021-11-29,Omicron,0,0.0,117
350,Argentina,2021-12-13,Alpha,0,0.0,87
351,Argentina,2021-12-13,Beta,0,0.0,87
352,Argentina,2021-12-13,Delta,70,80.46,87
353,Argentina,2021-12-13,Mu,0,0.0,87
354,Argentina,2021-12-13,Omicron,13,14.94,87
355,Argentina,2021-12-27,Alpha,0,0.0,94
356,Argentina,2021-12-27,Beta,0,0.0,94
357,Argentina,2021-12-27,Delta,12,12.77,94
358,Argentina,2021-12-27,Mu,0,0.0,94
359,Argentina,2021-12-27,Omicron,80,85.11,94
360,Aruba,2020-08-17,Alpha,0,0.0,4
361,Aruba,2020-08-17,Beta,0,0.0,4
362,Aruba,2020-08-17,Delta,0,0.0,4
363,Aruba,2020-08-17,Mu,0,0.0,4
364,Aruba,2020-08-17,Omicron,0,0.0,4
365,Aruba,2020-08-31,Alpha,0,0.0,1
366,Aruba,2020-08-31,Beta,0,0.0,1
367,Aruba,2020-08-31,Delta,0,0.0,1
368,Aruba,2020-08-31,Mu,0,0.0,1
369,Aruba,2020-08-31,Omicron,0,0.0,1
370,Aruba,2021-01-25,Alpha,1,3.85,26
371,Aruba,2021-01-25,Beta,0,0.0,26
372,Aruba,2021-01-25,Delta,0,0.0,26
373,Aruba,2021-01-25,Mu,0,0.0,26
374,Aruba,2021-01-25,Omicron,0,0.0,26
375,Aruba,2021-02-08,Alpha,9,7.89,114
376,Aruba,2021-02-08,Beta,0,0.0,114
377,Aruba,2021-02-08,Delta,0,0.0,114
378,Aruba,2021-02-08,Mu,0,0.0,114
379,Aruba,2021-02-08,Omicron,0,0.0,114
380,Aruba,2021-02-22,Alpha,37,24.03,154
381,Aruba,2021-02-22,Beta,0,0.0,154
382,Aruba,2021-02-22,Delta,0,0.0,154
383,Aruba,2021-02-22,Mu,0,0.0,154
384,Aruba,2021-02-22,Omicron,0,0.0,154
385,Aruba,2021-03-08,Alpha,65,52.0,125
386,Aruba,2021-03-08,Beta,2,1.6,125
387,Aruba,2021-03-08,Delta,0,0.0,125
388,Aruba,2021-03-08,Mu,0,0.0,125
389,Aruba,2021-03-08,Omicron,0,0.0,125
390,Aruba,2021-03-22,Alpha,66,66.67,99
391,Aruba,2021-03-22,Beta,0,0.0,99
392,Aruba,2021-03-22,Delta,0,0.0,99
393,Aruba,2021-03-22,Mu,0,0.0,99
394,Aruba,2021-03-22,Omicron,0,0.0,99
395,Aruba,2021-04-05,Alpha,74,80.43,92
396,Aruba,2021-04-05,Beta,0,0.0,92
397,Aruba,2021-04-05,Delta,0,0.0,92
398,Aruba,2021-04-05,Mu,0,0.0,92
399,Aruba,2021-04-05,Omicron,0,0.0,92
400,Aruba,2021-04-19,Alpha,96,66.21,145
401,Aruba,2021-04-19,Beta,2,1.38,145
402,Aruba,2021-04-19,Delta,14,9.66,145
403,Aruba,2021-04-19,Mu,0,0.0,145
404,Aruba,2021-04-19,Omicron,0,0.0,145
405,Aruba,2021-05-03,Alpha,86,61.43,140
406,Aruba,2021-05-03,Beta,0,0.0,140
407,Aruba,2021-05-03,Delta,2,1.43,140
408,Aruba,2021-05-03,Mu,1,0.71,140
409,Aruba,2021-05-03,Omicron,0,0.0,140
410,Aruba,2021-05-17,Alpha,54,53.47,101
411,Aruba,2021-05-17,Beta,0,0.0,101
412,Aruba,2021-05-17,Delta,10,9.9,101
413,Aruba,2021-05-17,Mu,6,5.94,101
414,Aruba,2021-05-17,Omicron,0,0.0,101
415,Aruba,2021-05-31,Alpha,52,48.6,107
416,Aruba,2021-05-31,Beta,0,0.0,107
417,Aruba,2021-05-31,Delta,0,0.0,107
418,Aruba,2021-05-31,Mu,20,18.69,107
419,Aruba,2021-05-31,Omicron,0,0.0,107
420,Aruba,2021-06-14,Alpha,5,5.62,89
421,Aruba,2021-06-14,Beta,0,0.0,89
422,Aruba,2021-06-14,Delta,4,4.49,89
423,Aruba,2021-06-14,Mu,32,35.96,89
424,Aruba,2021-06-14,Omicron,0,0.0,89
425,Aruba,2021-06-28,Alpha,3,12.5,24
426,Aruba,2021-06-28,Beta,0,0.0,24
427,Aruba,2021-06-28,Delta,0,0.0,24
428,Aruba,2021-06-28,Mu,1,4.17,24
429,Aruba,2021-06-28,Omicron,0,0.0,24
430,Aruba,2021-07-12,Alpha,2,6.9,29
431,Aruba,2021-07-12,Beta,0,0.0,29
432,Aruba,2021-07-12,Delta,13,44.83,29
433,Aruba,2021-07-12,Mu,10,34.48,29
434,Aruba,2021-07-12,Omicron,0,0.0,29
435,Aruba,2021-07-26,Alpha,1,1.03,97
436,Aruba,2021-07-26,Beta,0,0.0,97
437,Aruba,2021-07-26,Delta,84,86.6,97
438,Aruba,2021-07-26,Mu,10,10.31,97
439,Aruba,2021-07-26,Omicron,0,0.0,97
440,Aruba,2021-08-09,Alpha,0,0.0,341
441,Aruba,2021-08-09,Beta,0,0.0,341
442,Aruba,2021-08-09,Delta,335,98.24,341
443,Aruba,2021-08-09,Mu,6,1.76,341
444,Aruba,2021-08-09,Omicron,0,0.0,341
445,Aruba,2021-08-23,Alpha,0,0.0,525
446,Aruba,2021-08-23,Beta,0,0.0,525
447,Aruba,2021-08-23,Delta,518,98.67,525
448,Aruba,2021-08-23,Mu,6,1.14,525
449,Aruba,2021-08-23,Omicron,0,0.0,525
450,Aruba,2021-09-06,Alpha,0,0.0,261
451,Aruba,2021-09-06,Beta,0,0.0,261
452,Aruba,2021-09-06,Delta,258,98.85,261
453,Aruba,2021-09-06,Mu,3,1.15,261
454,Aruba,2021-09-06,Omicron,0,0.0,261
455,Aruba,2021-09-20,Alpha,0,0.0,140
456,Aruba,2021-09-20,Beta,0,0.0,140
457,Aruba,2021-09-20,Delta,140,100.0,140
458,Aruba,2021-09-20,Mu,0,0.0,140
459,Aruba,2021-09-20,Omicron,0,0.0,140
460,Aruba,2021-10-04,Alpha,0,0.0,177
461,Aruba,2021-10-04,Beta,0,0.0,177
462,Aruba,2021-10-04,Delta,177,100.0,177
463,Aruba,2021-10-04,Mu,0,0.0,177
464,Aruba,2021-10-04,Omicron,0,0.0,177
465,Aruba,2021-10-18,Alpha,0,0.0,37
466,Aruba,2021-10-18,Beta,0,0.0,37
467,Aruba,2021-10-18,Delta,37,100.0,37
468,Aruba,2021-10-18,Mu,0,0.0,37
469,Aruba,2021-10-18,Omicron,0,0.0,37
470,Aruba,2021-11-15,Alpha,0,0.0,68
471,Aruba,2021-11-15,Beta,0,0.0,68
472,Aruba,2021-11-15,Delta,68,100.0,68
473,Aruba,2021-11-15,Mu,0,0.0,68
474,Aruba,2021-11-15,Omicron,0,0.0,68
475,Aruba,2021-11-29,Alpha,0,0.0,43
476,Aruba,2021-11-29,Beta,0,0.0,43
477,Aruba,2021-11-29,Delta,43,100.0,43
478,Aruba,2021-11-29,Mu,0,0.0,43
479,Aruba,2021-11-29,Omicron,0,0.0,43
480,Aruba,2021-12-13,Alpha,0,0.0,61
481,Aruba,2021-12-13,Beta,0,0.0,61
482,Aruba,2021-12-13,Delta,61,100.0,61
483,Aruba,2021-12-13,Mu,0,0.0,61
484,Aruba,2021-12-13,Omicron,0,0.0,61
485,Australia,2020-05-11,Alpha,0,0.0,148
486,Australia,2020-05-11,Beta,0,0.0,148
487,Australia,2020-05-11,Delta,0,0.0,148
488,Australia,2020-05-11,Mu,0,0.0,148
489,Australia,2020-05-11,Omicron,0,0.0,148
490,Australia,2020-05-25,Alpha,0,0.0,103
491,Australia,2020-05-25,Beta,0,0.0,103
492,Australia,2020-05-25,Delta,0,0.0,103
493,Australia,2020-05-25,Mu,0,0.0,103
494,Australia,2020-05-25,Omicron,0,0.0,103
495,Australia,2020-06-08,Alpha,0,0.0,94
496,Australia,2020-06-08,Beta,0,0.0,94
497,Australia,2020-06-08,Delta,0,0.0,94
498,Australia,2020-06-08,Mu,0,0.0,94
499,Australia,2020-06-08,Omicron,0,0.0,94
500,Australia,2020-06-22,Alpha,0,0.0,172
501,Australia,2020-06-22,Beta,0,0.0,172
502,Australia,2020-06-22,Delta,0,0.0,172
503,Australia,2020-06-22,Mu,0,0.0,172
504,Australia,2020-06-22,Omicron,0,0.0,172
505,Australia,2020-07-06,Alpha,0,0.0,814
506,Australia,2020-07-06,Beta,0,0.0,814
507,Australia,2020-07-06,Delta,0,0.0,814
508,Australia,2020-07-06,Mu,0,0.0,814
509,Australia,2020-07-06,Omicron,0,0.0,814
510,Australia,2020-07-20,Alpha,0,0.0,2733
511,Australia,2020-07-20,Beta,0,0.0,2733
512,Australia,2020-07-20,Delta,0,0.0,2733
513,Australia,2020-07-20,Mu,0,0.0,2733
514,Australia,2020-07-20,Omicron,0,0.0,2733
515,Australia,2020-08-03,Alpha,0,0.0,4183
516,Australia,2020-08-03,Beta,0,0.0,4183
517,Australia,2020-08-03,Delta,0,0.0,4183
518,Australia,2020-08-03,Mu,0,0.0,4183
519,Australia,2020-08-03,Omicron,0,0.0,4183
520,Australia,2020-08-17,Alpha,0,0.0,3020
521,Australia,2020-08-17,Beta,0,0.0,3020
522,Australia,2020-08-17,Delta,0,0.0,3020
523,Australia,2020-08-17,Mu,0,0.0,3020
524,Australia,2020-08-17,Omicron,0,0.0,3020
525,Australia,2020-08-31,Alpha,0,0.0,1987
526,Australia,2020-08-31,Beta,0,0.0,1987
527,Australia,2020-08-31,Delta,0,0.0,1987
528,Australia,2020-08-31,Mu,0,0.0,1987
529,Australia,2020-08-31,Omicron,0,0.0,1987
530,Australia,2020-09-14,Alpha,0,0.0,770
531,Australia,2020-09-14,Beta,0,0.0,770
532,Australia,2020-09-14,Delta,0,0.0,770
533,Australia,2020-09-14,Mu,0,0.0,770
